Engine CC,Total,Price,Female,Manufacturer,Unknown,Fuel,Male,Power,Model,Transmission
1272.4375,15469.0,20.9225,5670.0,Skoda,799.0,petrol,9000.0,68.875,Roomster,5.375
1764.0,15284.0,16.80266667,2914.0,Daewoo,412.0,petrol,11958.0,71.0,Espero,4.5
1144.8,15258.0,13.1466,7977.0,Suzuki,905.0,petrol,6376.0,55.4,Splash,4.8
1753.0,15205.0,25.2075,5639.0,Fiat,896.0,petrol,8670.0,80.5,Multipla,5.0
1908.166667,15077.0,22.95383333,4356.0,Nissan,629.0,petrol,10092.0,67.33333333,Serena,5.0
1597.0,14771.0,26.0,11929.0,Ford,834.0,petrol,2008.0,70.0,Streetka,5.0
1624.769231,14723.0,41.59161538,4817.0,Hyundai,481.0,petrol,9425.0,111.3076923,Tucson,6.461538462
1183.25,14584.0,14.333375,7626.0,Daihatsu,705.0,petrol,6253.0,59.875,Sirion,4.5625
1330.4,14512.0,18.615,6839.0,Chevrolet,728.0,petrol,6945.0,69.6,Aveo,5.2
1275.0,14385.0,5.758,3314.0,Morris,189.0,petrol,10882.0,43.0,Marina,4.0
1182.4,14236.0,8.4656,5739.0,Suzuki,355.0,petrol,8142.0,41.4,SJ,4.6
3295.0,14183.0,158.976,3418.0,Porsche,731.0,petrol,10034.0,326.0,Cayenne,8.0
1353.363636,14123.0,14.22409091,7014.0,Chevrolet,741.0,petrol,6368.0,64.45454545,Kalos,4.727272727
2244.0,14111.0,24.84,3210.0,Ford,442.0,petrol,10459.0,102.0,Probe,5.0
1363.5,13686.0,17.587,4682.0,Suzuki,498.0,petrol,8506.0,73.08333333,Baleno,4.083333333
1047.75,13571.0,11.395,7685.0,Chevrolet,744.0,petrol,5142.0,52.5,Spark,5.0
2085.055556,13500.0,37.44666667,3970.0,Mitsubishi,620.0,petrol,8910.0,120.3333333,Outlander,2.611111111
1980.634146,13478.0,35.86943902,2149.0,Audi,457.0,petrol,10872.0,117.0243902,Coupe,5.585365854
996.0,13409.0,9.465666667,8094.0,Nissan,615.0,petrol,4700.0,50.0,Pixo,4.666666667
1612.928571,12939.0,18.76285714,4018.0,Chevrolet,656.0,petrol,8265.0,80.42857143,Lacetti,4.714285714
1509.75,12936.0,23.58666667,5303.0,Kia,290.0,petrol,7343.0,81.16666667,Venga,5.25
1495.0,12933.0,26.19775,6259.0,Daihatsu,639.0,petrol,6035.0,77.0,Terios,4.625
1655.741935,12296.0,17.31241935,3837.0,Seat,507.0,petrol,7952.0,66.35483871,Cordoba,4.967741935
2362.0,12294.0,32.11766667,2736.0,Ford,474.0,petrol,9084.0,115.3333333,Cougar,4.666666667
2304.97561,12222.0,108.7471951,2222.0,Land,667.0,diesel,9333.0,207.6097561,Defender,7.853658537
2313.666667,12207.0,42.5595,5405.0,Mercedes,737.0,petrol,6065.0,131.6666667,CLC,6.166666667
998.0,11604.0,11.745,5864.0,Subaru,779.0,petrol,4961.0,51.0,Justy,5.0
1347.666667,11487.0,9.999666667,3811.0,Toyota,343.0,petrol,7333.0,49.33333333,Tercel,4.333333333
1997.0,11302.0,14.275,3643.0,Fiat,256.0,diesel,7403.0,70.0,Strada,5.0
1523.333333,10890.0,18.88233333,3687.0,Suzuki,607.0,petrol,6596.0,74.0,Liana,4.666666667
1597.0,10781.0,11.263,1639.0,Hyundai,156.0,petrol,8986.0,55.0,Stellar,4.5
1998.0,10684.0,23.245,1982.0,Daewoo,419.0,petrol,8283.0,98.0,Leganza,4.5
2981.0,10075.0,116.545,749.0,Audi,545.0,petrol,8781.0,230.0,A,8.0
1932.153846,10028.0,18.16715385,2297.0,Volkswagen,421.0,petrol,7310.0,70.30769231,Vento,4.692307692
1549.8,9910.0,17.5296,2672.0,Honda,349.0,petrol,6889.0,78.4,Integra,4.6
2019.75,9495.0,36.70125,2570.0,Fiat,490.0,petrol,6435.0,91.75,Ulysse,4.875
1428.4,9432.0,14.7754,4641.0,Mazda,482.0,petrol,4309.0,51.4,Demio,4.8
5000.0,9262.0,171.1333333,981.0,Jaguar,428.0,petrol,7853.0,375.0,XKR,6.0
999.0,9231.0,12.6825,4960.0,Skoda,404.0,petrol,3867.0,45.0,Citigo,5.0
2211.071429,9122.0,31.79107143,1283.0,Renault,364.0,petrol,7475.0,104.1428571,Safrane,4.571428571
5577.8,9032.0,285.247,1024.0,Bentley,406.0,petrol,7602.0,428.2,Continental,7.2
2998.0,9028.0,81.295,1294.0,Toyota,208.0,petrol,7526.0,250.0,Supra,8.0
2460.75,9001.0,55.62,2875.0,Chevrolet,425.0,petrol,5701.0,145.75,Captiva,6.0
2588.6,8957.0,60.9552,2239.0,Nissan,325.0,diesel,6393.0,146.0,Pathfinder,5.5
1938.0,8882.0,23.22409091,2907.0,Mazda,387.0,petrol,5588.0,82.0,Premacy,4.909090909
903.0,8836.0,6.494,5166.0,Seat,197.0,petrol,3473.0,30.0,Marbella,5.0
2117.6,8766.0,30.352,2818.0,Hyundai,380.0,petrol,5568.0,99.0,Trajet,4.4
1288.5,8684.0,22.91875,3496.0,Ford,187.0,petrol,5001.0,75.5,B,5.25
1730.0,8650.0,53.792,879.0,Lotus,363.0,petrol,7408.0,134.3333333,Elise,6.0
1998.0,8328.0,25.29875,2474.0,Toyota,598.0,petrol,5256.0,94.0,Picnic,4.5
1405.0,8233.0,11.74,4001.0,Rover,590.0,petrol,3642.0,63.0,CityRover,5.0
1594.0,8228.0,15.16166667,2251.0,Kia,316.0,petrol,5661.0,75.0,Shuma,4.666666667
1936.6,7918.0,28.9602,1475.0,Mazda,343.0,petrol,6100.0,100.8,Xedos,4.4
898.0,7873.0,14.04,3269.0,Dacia,209.0,petrol,4395.0,66.0,Sandero,5.0
1781.0,7845.0,35.34,1339.0,Volkswagen,357.0,petrol,6149.0,118.0,Corrado,5.0
1962.058824,7686.0,34.33029412,1132.0,Fiat,156.0,diesel,6398.0,105.0,Croma,5.588235294
1206.0,7505.0,21.01833333,1641.0,Nissan,145.0,petrol,5719.0,66.0,Silvia,4.666666667
3071.0,7308.0,84.60125,1082.0,Porsche,362.0,petrol,5864.0,220.5,Cayman,6.5
1332.0,7083.0,20.75666667,2180.0,Dacia,195.0,petrol,4708.0,89.33333333,Duster,5.666666667
2116.0,6931.0,31.7425,1260.0,Hyundai,264.0,petrol,5407.0,119.6666667,Sonata,4.833333333
